Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58812E+12,Europe/London,29. 04. 2020 0:19,29. 04. 2020 8:08,29. 04. 2020 8:20,7.82,4, #sport,10007,-1,-1,8,0.39361703,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58803E+12,Europe/London,28. 04. 2020 0:18,28. 04. 2020 7:59,28. 04. 2020 8:20,7.7,3.75,,10007,-1,-1,6,0.26881722,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58794E+12,Europe/London,26. 04. 2020 23:17,27. 04. 2020 8:17,27. 04. 2020 8:20,9.01,4.25,,10007,-1,-1,7,0.34862384,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58786E+12,Europe/London,26. 04. 2020 0:05,26. 04. 2020 8:10,26. 04. 2020 8:20,8.09,3.5,,10007,-1,-1,5,0.2857143,-22
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58768E+12,Europe/London,23. 04. 2020 23:23,24. 04. 2020 7:55,24. 04. 2020 8:20,8.54,3.75,,10007,-1,-1,7,0.3106796,-7
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.5876E+12,Europe/London,23. 04. 2020 0:15,23. 04. 2020 7:59,23. 04. 2020 8:20,7.72,0, #newmoon,10007,-1,-1,6,0.32258064,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58743E+12,Europe/London,21. 04. 2020 0:43,21. 04. 2020 7:58,21. 04. 2020 8:20,7.26,3.5,,10007,-1,-1,5,0.375,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58734E+12,Europe/London,19. 04. 2020 23:45,20. 04. 2020 8:01,20. 04. 2020 8:20,8.27,4,  #geo1,10007,-1,-1,6,0.24,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58725E+12,Europe/London,19. 04. 2020 0:22,19. 04. 2020 8:16,19. 04. 2020 8:20,7.89,3.25,,10007,-1,-1,5,0.2736842,-4
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58717E+12,Europe/London,18. 04. 2020 0:18,18. 04. 2020 8:06,18. 04. 2020 8:15,7.81,4, #sport,10007,-1,-1,6,0.26595744,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58708E+12,Europe/London,17. 04. 2020 0:20,17. 04. 2020 8:06,17. 04. 2020 8:15,7.77,3.75, #sport_3x,10007,-1,-1,6,0.31914893,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58699E+12,Europe/London,15. 04. 2020 23:35,16. 04. 2020 8:19,16. 04. 2020 8:15,8.73,3.5,,10007,-1,-1,8,0.2857143,-9
